departamento,region,idc_2025,idc_2026,rank_2025,rank_2026,cambio_pos,instituciones_2025,instituciones_2026,infraestructura_2025,infraestructura_2026,tic_2025,tic_2026,sostenibilidad_2025,sostenibilidad_2026,salud_2025,salud_2026,edu_basica_2025,edu_basica_2026,edu_superior_2025,edu_superior_2026,entorno_negocios_2025,entorno_negocios_2026,mercado_laboral_2025,mercado_laboral_2026,sistema_financiero_2025,sistema_financiero_2026,tamano_mercado_2025,tamano_mercado_2026,sofisticacion_2025,sofisticacion_2026,innovacion_2025,innovacion_2026
Cesar,Caribe,4.824,4.8258,20,20,0,5.5452,5.4167,5.2601,5.3565,4.0059,4.3306,4.4709,4.3275,6.9958,6.6335,5.9287,6.0285,3.6623,3.5145,4.7898,4.8698,5.2728,5.7796,2.897,2.9655,6.8568,6.6457,4.9488,5.1282,2.078,1.7388
Nariño,Pacífico,4.7811,4.7465,21,21,0,4.9319,5.0354,4.6281,4.3537,3.4084,3.6804,5.8776,6.3547,6.3896,6.2903,6.8293,6.6968,3.5359,3.641,4.9541,4.8185,5.3793,5.5158,2.8187,2.9562,5.2506,5.3445,6.242,4.9847,1.9091,2.0319
Córdoba,Caribe,4.563,4.7172,22,22,0,4.6259,5.333,4.5708,4.6352,3.2653,3.386,4.4295,5.0988,6.541,6.3143,6.3812,6.5171,3.4931,4.3403,4.6726,4.7513,4.8155,4.6867,2.1617,2.1943,5.6295,5.6241,6.3937,6.4978,2.3388,1.9451
Caquetá,Amazonía,4.249,4.571,25,23,2,4.8434,5.0223,4.6491,4.5562,4.0186,3.9113,5.0053,4.9307,6.0952,6.7122,5.8353,6.226,2.6129,3.1735,2.7109,4.0061,5.0571,5.5275,4.0525,4.3236,3.7802,3.7904,4.6936,5.3449,1.8828,1.8977
Sucre,Caribe,4.4198,4.4482,23,24,-1,5.4823,5.2053,4.6056,4.7039,3.3515,3.7774,4.9771,5.0529,6.9929,6.894,6.4721,6.5194,3.3226,3.3642,4.5651,4.1869,4.5782,4.3869,2.6298,2.7211,5.5374,5.348,2.7522,3.4254,2.1908,2.2405
Arauca,Llanos-Orinoquía,4.2498,4.389,24,25,-1,4.379,3.9696,4.1345,4.5773,1.9393,2.4412,4.3346,4.3455,6.662,6.8213,6.7861,6.6771,3.0004,3.0372,3.5703,4.1882,4.0138,5.3748,3.7769,4.1069,3.9566,4.1231,7.9134,7.182,0.7806,0.2125
La Guajira,Caribe,4.2172,4.3733,26,26,0,4.8283,5.3829,4.7156,4.6671,2.8501,3.1539,5.5483,6.3755,5.3952,4.9927,5.2249,5.3937,2.2388,3.0369,4.1013,3.9959,4.4397,4.4509,1.7585,2.0245,6.9929,6.4685,4.612,4.8151,2.1181,2.0948
Putumayo,Amazonía,3.8348,3.9624,27,27,0,4.3972,4.7143,3.7924,3.7214,2.3687,3.3977,6.388,6.1405,6.4972,6.108,6.2255,6.1082,2.0302,2.093,4.1024,4.4949,4.0648,4.852,2.1963,2.4291,4.2773,4.4859,2.9189,2.4835,0.5931,0.4831
Guaviare,Amazonía,3.8276,3.8007,28,28,0,5.6392,4.4055,4.1935,3.7939,3.0236,2.9601,4.7496,4.809,6.2599,5.9846,5.1948,5.4388,2.208,2.4971,6.1151,5.3793,7.1971,7.5269,4.0456,4.399,1.0431,2.1304,0,0,0.0894,0.0839
Chocó,Pacífico,3.6883,3.6984,29,29,0,4.1503,4.5818,2.8125,2.727,2.0236,2.2923,7.179,7.2609,3.6186,3.7014,3.7631,3.9424,1.2588,1.2691,4.2116,3.2564,4.7324,4.7337,1.4299,1.4783,4.2389,4.2637,6.5641,7.1271,1.9655,1.4457
Amazonas,Amazonía,3.4259,3.4283,30,30,0,5.2441,5.3284,2.7867,2.9319,1.715,1.9057,4.6396,4.1911,4.7419,5.2199,3.5062,3.6978,2.7074,2.8261,4.6546,4.7019,6.7145,6.7399,1.6158,1.9687,2.4307,2.3449,0.5924,0,3.1882,2.7119
Guainía,Amazonía,2.8851,3.3451,32,31,1,6.2578,6.1471,1.918,2.0502,1.8946,1.835,4.9451,4.7091,3.6758,5.389,2.8614,3.1543,1.6143,1.8813,3.6282,3.7643,5.1859,5.6334,1.9446,1.966,2.0699,2.1449,0.476,3.7826,1.0343,1.0298
Vichada,Llanos-Orinoquía,2.569,2.9156,33,32,1,5.0417,5.1945,1.388,1.5174,0.9278,1.2131,4.9051,5.3743,5.4474,4.2209,2.6809,2.5986,2.0892,2.139,3.6274,3.4939,5.2244,6.4935,1.1294,1.1229,0.916,2.3239,0,1.6313,0.0199,0.5795
Vaupés,Amazonía,3.3759,2.8085,31,33,-2,5.96,5.9553,2.8547,2.7497,0.8102,0.9718,4.4454,4.886,4.8585,3.8806,2.3714,2.2206,0.7954,1.7977,4.5154,3.3342,6.653,6.8862,1.8791,1.982,1.8051,1.7933,6.336,0,0.6031,0.0524
